贔	bıı̀	
鐴	pȷeŋ̍	
𩪧	bȷeŋ̍	
鷩	pȷed̀	
鷩	pȷen̍	
𡚤	bıı̀	
鸊	beŋ̍	
𧲜	peŋ̍	
鼊	peŋ̍	
砭	pıem̄	
砭	pıem̀	
𥑁	pıem̄	
萹	pen̄	
萹	peń	
萹	pȷxen̄	
猵	bȷıń	
猵	pen̄	
牑	pen̄	
煸	pen̄	
蝙	pen̄	
箯	bȷen̄	
箯	pȷen̄	
編	pen̄	
編	peń	2%
編	pȷen̄	2%
鞕	ŋreŋ̀	
獱	bȷın̄	
鞭	pȷen̄	
邊	pen̄	
𠑟	pen̄	
鯾	pȷen̄	
鯿	pȷen̄	
鯿	pran̄	
𤄺	pen̄	
䟍	pen̄	
䟍	qıeń	
籩	pen̄	
釆	breǹ	
𦥘	pıeḿ	
窆	pıem̀	
扁	beń	2̄%
扁	bȷeń	2̄%
扁	peń	
扁	pȷxen̄	2̄%
匾	peń	
貶	pıeḿ	
𡬲	daú	
惼	peń	
碥	peń	
褊	pȷeń	
糄	peń	
鴘	pxıeń	
鴘	pıeń	
藊	peń	
䁵	pıeń	
𢣑	bȷeń	
𥣰	pen̄	
𥣰	peń	
𥤓	peń	
卞	bıeǹ	
弁	bıeǹ	
抃	bıeǹ	
苄	bıeǹ	
汳	pxyaǹ	
汴	bıeǹ	
忭	bıeǹ	
𡧍	meǹ	
䒪	bıeǹ	
㺹	bıeǹ	
𡭪	bıeǹ	
昪	bıeǹ	
便	bȷen̄	3̄%
便	bȷeǹ	
揙	pȷen̄	
𧦪	bıeń	
徧	peǹ	
遍	peǹ	
閞	bıeǹ	
閞	byaǹ	
㲢	beń	
辡	bıeń	
辡	pıeń	
䪻	bıeǹ	
䪻	byań	
艑	beń	
頨	ȷxyen̄	
頨	yó	
緶	bȷen̄	
緶	peń	
辨	bıeń	
辨	breǹ	
𦄒	peń	
𩩯	beń	
㦚	pȷeń	
𪉱	beń	
𤻶	beń	
辮	beń	
辯	bıeń	
變	pıeǹ	
髟	pȷeū	
髟	pȳ	
髟	sram̄	
彪	pȳ	
淲	bȳ	
𦳤	bıeú	
猋	pȷeū	
摽	bȷeú	
摽	pȷxeū	
摽	pȷxeù	
蔈	pȷeū	
幖	pȷeū	
颮	braū	
颮	prxuŋ̍	
標	pȷeū	
標	pȷeú	
膘	bȷeú	
膘	ʦıeú	
膘	pȷxeú	
麃	braū	
麃	pxıeú	
熛	pȷeū	
𦠎	pȷxeū	
𦠎	pȷeū	
瘭	pȷeū	
儦	pıeū	
藨	bıeú	
藨	pxaū	
藨	pıeū	
𤐫	pȷxeū	
𣄠	pȷeū	
瀌	bȳ	
瀌	pıeū	
贆	pȷeū	
爂	pȷeū	
𤐫	pȷxeū	
鏢	pȷxeū	
臕	pıeū	
𦔩	pıeū	
驃	bȷeù	
飆	pȷeū	
飊	pȷeū	
𧥍	pıeū	
鑣	pıeū	
䮽	luŋ̍	
𩽁	pıeū	
驫	pȷeū	
驫	pȳ	
嫑	pȷeù	
表	pıeú	
𧘝	pıeú	
婊	pıeú	
裱	pıeù	
裱	pıeú	
㟽	pȷeú	
䔸	pıeú	
㠒	pȷeū	
錶	pıeú	
褾	pȷeú	
𧞧	pıeú	
𠬪	bıeú	
俵	pıeù	
𢿏	prxaū	
𧴎	bıeú	
鰾	bȷeú	
𡘴	pen̍	
㔡	pen̍	
䘷	pen̍	
䋢	pen̍	
䋢	pxen̍	
𡐞	pȷen̍	
𢠳	pxen̍	
憋	pȷxen̍	
憋	pȷen̍	
䳤	pȷen̍	
鱉	pȷen̍	
鼈	pȷen̍	
虌	pȷen̍	
別	bıen̍	
別	pıen̍	
别	bıen̍	
别	pıen̍	
咇	ben̍	
咇	bȷın̍	
咇	pın̍	
䏟	ben̍	
莂	pıen̍	
𡷘	bıen̍	
𢛎	ben̍	
蛂	ben̍	
䇷	pıen̍	
𧧸	pıen̍	
䭱	ben̍	
䭱	pxen̍	
𩓝	ben̍	
襒	ben̍	
蹩	ben̍	
癟	ben̍	
癟	pȷxen̍	
㢼	pen̍	
彆	pȷed̀	
䌘	pen̍	
汃	prxen̍	
汃	pın̄	
邠	pın̄	
玢	pın̄	
砏	pxın̄	
砏	pxyon̄	
砏	pın̄	
彬	pın̄	
斌	pın̄	
㻞	pın̄	
𧶉	pȷın̄	
賓	pȷın̄	
𡪛	pȷın̄	
賔	pȷın̄	
儐	pȷın̄	
儐	pȷıǹ	
豳	pın̄	
虨	pxın̄	
虨	pın̄	
虨	pren̄	
濱	pȷın̄	
濵	pȷın̄	
檳	pȷın̄	
㯽	pȷın̄	
霦	pın̄	
瀕	pȷın̄	
繽	pȷxın̄	
䚔	pȷxıǹ	
䚔	pȷın̄	
䚔	pȷıǹ	
𧢘	pȷxıǹ	
鑌	pȷın̄	
顮	pȷın̄	
𩴱	bȷın̄	
𩴱	pȷxın̄	
𩴱	pȷın̄	
擯	pȷıǹ	
𢷤	pȷıǹ	
殯	pȷıǹ	
𣩵	pȷıǹ	
臏	bȷıń	
𧸈	pȷıǹ	
髕	bȷıń	
鬢	pȷıǹ	
仌	pıŋ̄	
冰	pıŋ̄	
兵	pıeŋ̄	
栟	pȷeŋ̄	
掤	pıŋ̄	
丙	pıeŋ́	
邴	pıeŋ̀	
邴	pıeŋ́	
苪	pıeŋ́	
秉	pıeŋ́	
怲	pıeŋ̀	
怲	pıeŋ́	
柄	pıeŋ̀	
昞	pıeŋ́	
炳	pıeŋ́	
窉	pıeŋ́	
蛃	pıeŋ́	
棅	pıeŋ̀	
鈵	pıeŋ̀	
稟	pıḿ	
鉼	pȷeŋ́	
餅	pȷeŋ́	
𩶁	breŋ́	
䴵	pȷeŋ́	
癛	lıḿ	
疒	nreŋ̍	
疒	ʣrıaŋ̄	
并	pȷeŋ̄	
并	pȷeŋ̀	
幷	pȷeŋ̀	
併	beŋ́	
併	breŋ́	
併	pȷeŋ̀	
併	pȷeŋ́	
並	beŋ́	
庰	bȷeŋ̀	
倂	pȷeŋ̀	
𠊧	breŋ̀	
𠊧	breŋ́	
病	bıeŋ̀	
竝	beŋ́	
偋	bȷeŋ̀	
摒	pȷeŋ̀	
傡	breŋ̀	
傡	breŋ́	
寎	pıeŋ̀	
鮩	beŋ́	
鮩	bȷın̍	
鮩	braŋ́	
靐	bıŋ̀	
癶	puan̍	
波	puā	
玻	pxuā	
盋	puan̍	
袚	puan̍	
袚	pyad̀	
𧙂	pyoı̀	
剥	pruŋ̍	
剝	pruŋ̍	
菠	puā	
缽	puan̍	
紴	pxıé	
紴	puā	
鉢	puan̍	
碆	buā	
碆	puā	
播	puà	
撥	puan̍	
䃗	ʦrxuŋ̍	
嶓	puā	
餑	buon̍	
𢿥	puà	
磻	buan̄	
𦢸	pxaŋ̍	
𩯌	puan̍	
驋	puan̍	
鱍	pxuan̍	
鱍	puan̍	
䭦	baŋ̍	
仢	ʣȷaŋ̍	
䢌	puan̍	
伯	praŋ̍	
帛	braŋ̍	
瓝	bruŋ̍	
泊	baŋ̍	
𢫯	boŋ̍	
郣	buon̍	
勃	buon̍	
𤝡	brà	
㼟	praŋ̍	
胉	pxaŋ̍	
挬	buon̍	
𡋯	buon̍	
𦯉	praŋ̍	
瓟	braū	
瓟	bruŋ̍	
亳	baŋ̍	
浡	buon̍	
𦰬	braŋ̍	
桲	buon̍	
𣭷	buon̍	
㪍	buon̍	
䟛	buan̍	
䟛	pyoı̀	
舶	braŋ̍	
㼎	bruŋ̍	
脖	buon̍	
㶿	buon̍	
博	paŋ̍	
湐	praŋ̍	
渤	buon̍	
搏	paŋ̍	
搏	pxaŋ̍	
搏	pyò	
㗘	paŋ̍	
𥭖	pruŋ̍	
鈸	buan̍	
鉑	baŋ̍	
猼	paŋ̍	
愽	paŋ̍	
駁	pruŋ̍	
𦸦	buon̍	
𧟱	boŋ̍	
僰	boŋ̍	
䯋	buan̍	
䯋	cxan̍	
馛	buan̍	
箔	baŋ̍	
膊	pxaŋ̍	
䮀	bruŋ̍	
䞳	boŋ̍	
䞳	pxù	
䞳	pxyò	
踣	boŋ̍	
踣	pxù	
𩐟	pruŋ̍	
䙏	paŋ̍	
駮	pruŋ̍	
䳊	buan̍	
䳊	puan̍	
䗚	paŋ̍	
馞	buon̍	
馞	pxuon̍	
鮊	braŋ̍	
䪬	pxuon̍	
䍸	paŋ̍	
𩣡	bruŋ̍	
𩣡	buon̍	
豰	bruŋ̍	
豰	xuŋ̍	
豰	tuŋ̍	
𦼭	bıeŋ̍	
𩃶	buan̍	
襏	puan̍	
㩧	bruŋ̍	
㩧	prxuŋ̍	
鵓	buon̍	
礡	baŋ̍	
簙	paŋ̍	
鎛	paŋ̍	
餺	paŋ̍	
懪	bruŋ̍	
𩌏	bù	
𩌏	paŋ̍	
髆	paŋ̍	
髉	pruŋ̍	
犦	bruŋ̍	
犦	puuŋ̍	
𥴮	paŋ̍	
𥴮	pxaŋ̍	
䑈	pruŋ̍	
䌟	breŋ̍	
欂	bıeŋ̍	
欂	breŋ̍	
欂	paŋ̍	
襮	paŋ̍	
襮	puuŋ̍	
礴	baŋ̍	
䵗	boŋ̍	
䶈	paŋ̍	
𩱚	buon̍	
鑮	baŋ̍	
鑮	paŋ̍	
𩍿	baŋ̍	
𪙍	paŋ̍	
𩽛	baŋ̍	
㝿	puá	
跛	pıè	
跛	puá	
檗	preŋ̍	
擘	preŋ̍	
簸	puà	
簸	puá	
譒	puà	
糪	prxeŋ̍	
